CustomerID,cluster
12346.0,0
12347.0,1
12348.0,2
12349.0,0
12350.0,0
12352.0,0
12353.0,2
12354.0,2
12355.0,0
12358.0,0
12360.0,0
12361.0,2
12362.0,1
12363.0,0
12364.0,2
12365.0,0
12367.0,0
12370.0,1
12371.0,0
12372.0,0
12373.0,0
12374.0,0
12375.0,2
12379.0,0
12380.0,2
12381.0,2
12383.0,0
12384.0,0
12386.0,0
12388.0,1
12390.0,0
12391.0,2
12393.0,0
12394.0,2
12395.0,1
12397.0,0
12398.0,0
12399.0,0
12401.0,0
12402.0,2
12403.0,2
12405.0,2
12407.0,0
12408.0,1
12410.0,2
12412.0,0
12413.0,2
12414.0,0
12417.0,1
12418.0,2
12420.0,2
12421.0,2
12422.0,2
12423.0,0
12424.0,2
12425.0,2
12426.0,2
12427.0,0
12429.0,1
12430.0,2
12431.0,1
12434.0,2
12436.0,2
12437.0,1
12441.0,0
12442.0,0
12444.0,1
12445.0,2
12446.0,2
12447.0,2
12448.0,0
12449.0,1
12450.0,2
12452.0,0
12453.0,2
12454.0,0
12455.0,1
12456.0,1
12457.0,1
12458.0,0
12461.0,2
12462.0,0
12463.0,0
12464.0,2
12465.0,2
12468.0,2
12473.0,1
12475.0,0
12478.0,0
12479.0,0
12480.0,2
12481.0,1
12483.0,1
12484.0,1
12488.0,0
12489.0,2
12490.0,1
12491.0,0
12492.0,2
12493.0,2
12494.0,1
12497.0,0
12498.0,2
12500.0,1
12502.0,2
12504.0,0
12506.0,2
12507.0,0
12508.0,2
12509.0,0
12510.0,0
12512.0,0
12513.0,2
12514.0,2
12515.0,0
12516.0,2
12517.0,1
12518.0,2
12519.0,2
12520.0,1
12521.0,0
12522.0,0
12523.0,1
12524.0,1
12526.0,0
12527.0,0
12528.0,0
12530.0,0
12531.0,2
12532.0,0
12534.0,0
12535.0,0
12538.0,2
12541.0,2
12544.0,2
12545.0,2
12546.0,2
12547.0,2
12548.0,2
12550.0,0
12551.0,2
12552.0,0
12553.0,1
12556.0,0
12558.0,2
12559.0,0
12560.0,1
12561.0,2
12562.0,1
12564.0,0
12565.0,2
12566.0,0
12569.0,1
12571.0,0
12572.0,0
12573.0,0
12574.0,2
12576.0,2
12577.0,2
12578.0,1
12579.0,2
12580.0,2
12581.0,0
12582.0,2
12583.0,1
12585.0,1
12586.0,0
12587.0,2
12588.0,0
12589.0,2
12591.0,0
12592.0,0
12593.0,0
12594.0,0
12596.0,0
12598.0,1
12599.0,0
12600.0,2
12601.0,2
12602.0,0
12604.0,0
12607.0,0
12609.0,0
12610.0,1
12611.0,0
12613.0,1
12614.0,0
12615.0,2
12616.0,0
12617.0,2
12618.0,2
12619.0,1
12620.0,2
12622.0,2
12623.0,0
12624.0,0
12627.0,1
12628.0,2
12630.0,2
12631.0,2
12633.0,1
12635.0,2
12638.0,2
12639.0,2
12640.0,0
12641.0,0
12642.0,0
12643.0,1
12644.0,0
12645.0,0
12646.0,2
12647.0,1
12648.0,2
12649.0,0
12650.0,0
12651.0,2
12652.0,0
12654.0,2
12656.0,1
12657.0,2
12658.0,0
12659.0,2
12660.0,0
12662.0,1
12664.0,1
12665.0,0
12666.0,0
12667.0,0
12668.0,1
12669.0,0
12670.0,1
12672.0,2
12673.0,0
12674.0,1
12676.0,0
12679.0,1
12680.0,2
12684.0,0
12685.0,1
12686.0,2
12689.0,0
12690.0,0
12691.0,0
12693.0,2
12694.0,2
12695.0,0
12697.0,2
12700.0,1
12701.0,0
12702.0,2
12703.0,2
12704.0,2
12707.0,0
12710.0,2
12712.0,1
12713.0,2
12714.0,1
12715.0,2
12716.0,2
12717.0,2
12718.0,2
12719.0,2
12721.0,1
12722.0,0
12723.0,0
12724.0,0
12725.0,2
12726.0,1
12727.0,1
12728.0,0
12729.0,2
12732.0,0
12733.0,0
12734.0,0
12735.0,2
12736.0,0
12738.0,2
12739.0,2
12740.0,2
12743.0,2
12747.0,1
12749.0,1
12750.0,0
12756.0,0
12757.0,1
12759.0,0
12763.0,2
12766.0,1
12769.0,2
12770.0,2
12772.0,0
12775.0,0
12778.0,2
12779.0,1
12781.0,0
12782.0,0
12783.0,2
12784.0,2
12785.0,2
12787.0,0
12789.0,0
12790.0,0
12792.0,0
12794.0,0
12795.0,0
12802.0,0
12808.0,2
12809.0,0
12811.0,0
12812.0,0
12815.0,0
12816.0,2
12817.0,2
12820.0,0
12821.0,0
12822.0,0
12823.0,0
12824.0,0
12826.0,2
12827.0,0
12828.0,2
12829.0,2
12831.0,0
12832.0,2
12833.0,2
12834.0,0
12836.0,0
12837.0,2
12838.0,2
12839.0,1
12840.0,1
12841.0,1
12842.0,2
12843.0,0
12844.0,0
12845.0,0
12847.0,2
12849.0,0
12851.0,2
12852.0,2
12853.0,1
12854.0,0
12855.0,2
12856.0,1
12857.0,2
12863.0,0
12864.0,2
12865.0,0
12866.0,0
12867.0,1
12868.0,0
12870.0,0
12871.0,2
12872.0,2
12873.0,0
12875.0,0
12877.0,0
12878.0,2
12879.0,2
12881.0,0
12882.0,0
12883.0,0
12884.0,0
12885.0,0
12886.0,0
12888.0,0
12890.0,0
12891.0,0
12893.0,0
12895.0,0
12897.0,2
12902.0,2
12904.0,0
12906.0,1
12909.0,1
12910.0,1
12912.0,2
12913.0,1
12915.0,2
12916.0,2
12917.0,0
12919.0,0
12920.0,0
12922.0,2
